Extraction C212P au 19/01/18

Navire	Type	N° Bloc	Date Deb+Tot	Date Fin+Tot
C34	B	0102	03/09/19	08/11/19
C34	B	0103	03/09/19	12/11/19
C34	B	0104	25/07/19	24/10/19
C34	B	0105	26/07/19	25/10/19
C34	B	0106	19/08/19	17/10/19
C34	B	0108	22/07/19	10/10/19
C34	B	0110	05/03/19	15/05/19
C34	B	0112	26/03/19	29/05/19
C34	B	0114	08/03/19	17/06/19
C34	B	0116	19/04/19	01/07/19
C34	B	0232	22/11/19	31/01/20
C34	B	0234	09/09/19	08/11/19
C34	B	0236	25/09/19	18/12/19
C34	B	0238	21/10/19	23/12/19
C34	B	0240	11/12/19	26/02/20
C34	B	0242	16/12/19	04/03/20
C34	B	0244	03/01/20	11/03/20
C34	B	0502	04/09/19	18/11/19
C34	B	0503	30/08/19	19/11/19
C34	B	0504	25/09/19	18/12/19
C34	B	0505	14/10/19	19/12/19
C34	B	0506	24/10/19	16/01/20
C34	B	0507	04/11/19	17/01/20
C34	B	0508	12/11/19	29/01/20
C34	B	0510	12/12/19	12/02/20
C34	B	0512	20/12/19	19/02/20
C34	B	0532	30/10/19	07/02/20
C34	B	0534	18/12/19	26/02/20
C34	B	0536	24/03/20	15/05/20
C34	B	0538	20/02/20	29/04/20
C34	B	0539	21/02/20	30/04/20
C34	B	0540	25/02/20	25/05/20
C34	B	0541	19/03/20	26/05/20
C34	B	0542	27/11/19	11/03/20
C34	B	0543	26/11/19	10/03/20
C34	B	0544	11/12/19	25/03/20
C34	B	0545	10/12/19	24/03/20
C34	B	0548	11/02/20	29/05/20
C34	B	0549	12/02/20	02/06/20
C34	B	0550	19/03/20	24/06/20
C34	B	0562	03/01/20	08/04/20
C34	B	0563	02/01/20	07/04/20
C34	B	0564	22/01/20	28/04/20
C34	B	0565	14/01/20	27/04/20
C34	B	0570	24/03/20	09/06/20
C34	B	0582	10/03/20	10/06/20
C34	B	0602	09/05/19	19/08/19
C34	B	0652	27/02/20	07/05/20
C34	B	0742	13/11/19	26/02/20
C34	B	0743	12/11/19	25/02/20
C34	B	0744	06/09/19	20/12/19
C34	B	0745	05/09/19	19/12/19
C34	B	0746	18/09/19	03/01/20
C34	B	0747	17/09/19	02/01/20
C34	B	0748	30/09/19	15/01/20
C34	B	0749	27/09/19	14/01/20
C34	B	0750	23/01/20	22/04/20
C34	B	0751	22/01/20	21/04/20
C34	B	0752	06/02/20	29/04/20
C34	B	0753	29/01/20	28/04/20
C34	B	0862	04/12/19	25/03/20
C34	B	0863	03/12/19	24/03/20
C34	B	0864	07/10/19	29/01/20
C34	B	0865	04/10/19	28/01/20
C34	B	0866	21/10/19	12/02/20
C34	B	0867	18/10/19	11/02/20
C34	B	0868	22/01/20	06/05/20
C34	B	0869	21/01/20	05/05/20
C34	B	0870	27/02/20	17/06/20
C34	B	0871	26/02/20	16/06/20
C34	B	0872	25/02/20	22/06/20
C34	B	0950	08/04/20	23/06/20
C34	B	0962	27/03/20	15/06/20
C34	B	0964	31/03/20	18/06/20
C34	P	1002	05/09/19	05/09/19
C34	P	1004	19/08/19	19/08/19
C34	P	1006	21/08/19	21/08/19
C34	P	1008	24/07/19	24/07/19
C34	P	1010	07/03/19	07/03/19
C34	P	1012	28/03/19	28/03/19
C34	P	1014	12/03/19	12/03/19
C34	P	1015	12/03/19	12/03/19
C34	P	1016	24/04/19	24/04/19
C34	P	1018	24/04/19	24/04/19
C34	P	1022	11/09/19	11/09/19
C34	P	1024	26/08/19	26/08/19
C34	P	1026	26/08/19	26/08/19
C34	P	1028	19/08/19	19/08/19
C34	P	1030	12/03/19	12/03/19
C34	P	1032	02/04/19	02/04/19
C34	P	1034	09/04/19	09/04/19
C34	P	1035	09/04/19	09/04/19
C34	P	1036	29/04/19	29/04/19
C34	P	1037	29/04/19	29/04/19
C34	P	1038	29/04/19	29/04/19
C34	P	1052	05/09/19	05/09/19
C34	P	1053	05/09/19	05/09/19
C34	P	1054	19/08/19	19/08/19
C34	P	1055	20/08/19	20/08/19
C34	P	1056	21/08/19	21/08/19
C34	P	1057	21/08/19	21/08/19
C34	P	1058	24/07/19	24/07/19
C34	P	1059	24/07/19	24/07/19
C34	P	1060	07/03/19	07/03/19
C34	P	1061	07/03/19	07/03/19
C34	P	1062	28/03/19	28/03/19
C34	P	1063	28/03/19	28/03/19
C34	P	1072	11/09/19	11/09/19
C34	P	1073	12/09/19	12/09/19
C34	P	1074	28/08/19	28/08/19
C34	P	1075	29/08/19	29/08/19
C34	P	1076	04/09/19	04/09/19
C34	P	1077	04/09/19	04/09/19
C34	P	1078	28/08/19	28/08/19
C34	P	1079	28/08/19	28/08/19
C34	P	1080	21/03/19	21/03/19
C34	P	1081	15/03/19	15/03/19
C34	P	1082	05/04/19	05/04/19
C34	P	1083	05/04/19	05/04/19
C34	P	1102	17/09/19	17/09/19
C34	P	1104	30/08/19	30/08/19
C34	P	1106	10/09/19	10/09/19
C34	P	1108	03/09/19	03/09/19
C34	P	1110	18/03/19	18/03/19
C34	P	1112	08/04/19	08/04/19
C34	P	1114	26/04/19	26/04/19
C34	P	1115	26/04/19	26/04/19
C34	P	1116	06/05/19	06/05/19
C34	P	1117	06/05/19	06/05/19
C34	P	1118	06/05/19	06/05/19
C34	P	1122	10/09/19	10/09/19
C34	P	1152	17/09/19	17/09/19
C34	P	1153	18/09/19	18/09/19
C34	P	1154	03/09/19	03/09/19
C34	P	1155	04/09/19	04/09/19
C34	P	1156	10/09/19	10/09/19
C34	P	1157	10/09/19	10/09/19
C34	P	1158	03/09/19	03/09/19
C34	P	1159	03/09/19	03/09/19
C34	P	1160	27/03/19	27/03/19
C34	P	1161	21/03/19	21/03/19
C34	P	1162	11/04/19	11/04/19
C34	P	1163	11/04/19	11/04/19
C34	P	2202	26/11/19	26/11/19
C34	P	2203	26/11/19	26/11/19
C34	P	2204	11/09/19	11/09/19
C34	P	2205	11/09/19	11/09/19
C34	P	2206	11/09/19	11/09/19
C34	P	2207	11/09/19	11/09/19
C34	P	2208	27/09/19	27/09/19
C34	P	2209	27/09/19	27/09/19
C34	P	2210	27/09/19	27/09/19
C34	P	2211	27/09/19	27/09/19
C34	P	2212	23/10/19	23/10/19
C34	P	2213	23/10/19	23/10/19
C34	P	2214	23/10/19	23/10/19
C34	P	2215	23/10/19	23/10/19
C34	P	2216	13/12/19	13/12/19
C34	P	2217	13/12/19	13/12/19
C34	P	2218	13/12/19	13/12/19
C34	P	2219	13/12/19	13/12/19
C34	P	2220	06/05/19	06/05/19
C34	P	2221	06/05/19	06/05/19
C34	P	2222	07/01/20	07/01/20
C34	P	2302	03/12/19	03/12/19
C34	P	2303	03/12/19	03/12/19
C34	P	2304	18/09/19	18/09/19
C34	P	2305	18/09/19	18/09/19
C34	P	2306	18/09/19	18/09/19
C34	P	2307	18/09/19	18/09/19
C34	P	2308	04/10/19	04/10/19
C34	P	2309	04/10/19	04/10/19
C34	P	2310	04/10/19	04/10/19
C34	P	2311	04/10/19	04/10/19
C34	P	2312	30/10/19	30/10/19
C34	P	2313	30/10/19	30/10/19
C34	P	2314	30/10/19	30/10/19
C34	P	2315	30/10/19	30/10/19
C34	P	2316	20/12/19	20/12/19
C34	P	2317	20/12/19	20/12/19
C34	P	2318	20/12/19	20/12/19
C34	P	2319	20/12/19	20/12/19
C34	P	2320	14/05/19	14/05/19
C34	P	2321	14/05/19	14/05/19
C34	P	2322	14/01/20	14/01/20
C34	P	2333	04/12/19	04/12/19
C34	P	2342	31/10/19	31/10/19
C34	P	2343	25/09/17	25/09/17
C34	P	2344	25/09/17	25/09/17
C34	P	2365	24/10/19	24/10/19
C34	P	2402	10/12/19	10/12/19
C34	P	2403	10/12/19	10/12/19
C34	P	2404	25/09/19	25/09/19
C34	P	2405	25/09/19	25/09/19
C34	P	2406	25/09/19	25/09/19
C34	P	2407	25/09/19	25/09/19
C34	P	2408	11/10/19	11/10/19
C34	P	2409	11/10/19	11/10/19
C34	P	2410	11/10/19	11/10/19
C34	P	2411	11/10/19	11/10/19
C34	P	2412	07/11/19	07/11/19
C34	P	2413	07/11/19	07/11/19
